,run_number,chip_id,frontend,geoid,threshold,hv_voltage,psub_voltage,temperature,type,elog_link_s_curve,elog_link_run,checked,by,tdac_used
0,1400,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/32,,,True
1,1401,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/33,,,True
2,1402,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/34,,,True
3,1403,W08R06,HVC,3,23.4,6,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/28,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/35,,,True
4,1404,W08R06,HVC,3,,8,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/36,,,True
5,1405,W08R06,HVC,3,23.2,10,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/27,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/37,,,True
6,1406,W08R06,HVC,3,,12,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/38,,,True
7,1408,W08R06,HVC,3,,14,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/40,,,True
8,1409,W08R06,HVC,3,,16,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/41,,,True
9,1410,W08R06,HVC,3,,18,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/43,,,True
10,1416,W08R06,HVC,3,22.5,15,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/26,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/43,,,True
11,1417,W08R06,HVC,3,22.6,20,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/25,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/44,,,True
12,1418,W08R06,HVC,3,22,25,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/24,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/45,,,True
